Date,Open,High,Low,Close,Adj Close,Volume
1985-02-01,2.919620,2.950033,2.630699,2.714334,0.007575,347623600
1985-03-01,2.729541,2.775160,2.569874,2.577477,0.007193,261444000
1985-04-01,2.592684,2.721938,2.440620,2.486239,0.006938,239958500
1985-05-01,2.440620,2.699128,2.440620,2.645906,0.007486,275543900
1985-06-01,2.645906,2.797969,2.615493,2.744747,0.007766,228251900
1985-07-01,2.744747,2.813176,2.592684,2.714334,0.007680,234451300
1985-08-01,2.729541,2.744747,2.615493,2.676318,0.007678,108847200
1985-09-01,2.661112,2.729541,2.615493,2.691525,0.007721,135024700
1985-10-01,2.683922,2.912017,2.683922,2.828382,0.008114,235754400
1985-11-01,2.843588,3.383414,2.828382,3.284573,0.009570,338827600
1985-12-01,3.269366,3.596303,3.200938,3.527874,0.010279,196622400
1986-01-01,3.497462,3.930843,3.269366,3.809192,0.011099,225645300
1986-02-01,3.809192,4.440256,3.755970,4.364224,0.015942,240332200
1986-03-01,4.303399,5.094129,4.295795,4.980081,0.018192,240313000
1986-04-01,5.002891,5.177764,4.531494,4.599922,0.016803,295460200
1986-05-01,4.592319,4.980081,4.577113,4.896446,0.021708,177180200
1986-06-01,4.896446,5.177764,4.721573,5.029502,0.022298,136909000
1986-07-01,5.029502,5.291811,4.687359,4.881240,0.021641,199503800
1986-08-01,4.892645,5.793621,4.801406,5.451478,0.029124,183978800
1986-09-01,5.474288,5.474288,4.516287,4.835621,0.025833,213076200
1986-10-01,4.881240,5.394454,4.847026,5.234787,0.027966,184931100
1986-11-01,5.269002,5.451478,5.018097,5.337430,0.035338,130306800
1986-12-01,5.314621,5.531312,5.063716,5.132145,0.033978,187490100
1987-01-01,5.189168,7.150788,5.189168,6.785836,0.044927,267015500
1987-02-01,6.808645,7.344669,6.614764,6.968312,0.054330,198604400
1987-03-01,6.979717,7.755241,6.934098,7.698217,0.060020,214868700
1987-04-01,7.629788,8.439527,7.242026,8.302670,0.064733,296110500
1987-05-01,8.371099,9.192242,7.949122,8.291265,0.076663,255694400
1987-06-01,8.393908,9.329099,8.268456,9.032575,0.083517,196358900
1987-07-01,8.998361,9.887933,8.918528,9.272075,0.085731,209815400
1987-08-01,9.123813,10.275694,9.123813,9.853718,0.104170,228111600
1987-09-01,9.842313,9.910742,8.622004,8.941337,0.094525,243204200
1987-10-01,8.941337,9.294885,5.474288,6.888479,0.072823,543461100
1987-11-01,6.888479,7.253431,6.295431,6.489312,0.091877,200988000
1987-12-01,6.546336,7.287646,6.500717,6.877074,0.097367,177126900
1988-01-01,6.945503,8.006145,6.934098,7.755241,0.109800,176107300
1988-02-01,7.869289,8.393908,7.253431,8.234241,0.129945,136112600
1988-03-01,8.188622,8.530766,7.549955,7.823669,0.123466,138198800
1988-04-01,7.664003,8.736051,7.664003,8.622004,0.136064,150275200
1988-05-01,8.667623,8.986956,8.302670,8.781670,0.155645,112754000
1988-06-01,8.827289,9.944956,8.804480,9.716861,0.172220,156084800
1988-07-01,9.694052,9.922147,9.169432,9.671242,0.171412,146931300
1988-08-01,9.671242,9.899337,8.530766,8.986956,0.177089,119521000
1988-09-01,8.964147,9.465956,8.758861,9.329099,0.183831,119466800
1988-10-01,9.397528,10.036194,9.237861,9.397528,0.185180,129327000
1988-11-01,9.397528,9.580004,8.918528,9.488766,0.206506,112538100
1988-12-01,9.511575,9.694052,9.215051,9.215051,0.200549,101381900
1989-01-01,9.169432,9.990575,9.101004,9.967766,0.216930,165769000
1989-02-01,9.944956,10.332718,9.374718,9.420337,0.233925,115864700
1989-03-01,9.465956,9.534385,8.781670,8.918528,0.221464,118544500
1989-04-01,8.941337,9.009766,8.485147,8.713242,0.216366,133916900
1989-05-01,8.667623,9.146623,8.416718,8.895718,0.254623,116041000
1989-06-01,8.872909,9.169432,8.736051,8.850099,0.253317,127660600
1989-07-01,8.804480,9.260670,8.690432,9.101004,0.260499,104652000
1989-08-01,9.101004,9.853718,9.009766,9.830909,0.322645,165713100
1989-09-01,9.830909,9.967766,9.215051,9.283480,0.304678,90036800
1989-10-01,9.283480,9.830909,8.485147,8.644813,0.283718,124180500
1989-11-01,8.667623,8.713242,7.914908,8.143003,0.308171,95919500
1989-12-01,8.188622,8.393908,7.549955,7.960527,0.301266,88089000
1990-01-01,7.983336,8.371099,7.572765,7.869289,0.297813,97138900
1990-02-01,7.846479,8.576385,7.709622,8.393908,0.372302,71285100
1990-03-01,8.348289,8.964147,8.325480,8.622004,0.382419,93952200
1990-04-01,8.599194,8.872909,7.983336,8.051764,0.357127,71846700
1990-05-01,8.097384,8.895718,8.051764,8.416718,0.433511,84653500
1990-06-01,8.439527,8.781670,7.892098,7.983336,0.411190,85319700
1990-07-01,8.006145,8.257051,7.435907,7.572765,0.390043,90193300
1990-08-01,7.572765,7.595574,6.044526,6.363860,0.387533,133435900
1990-09-01,6.295431,6.523526,5.542717,5.633955,0.343085,71562100
1990-10-01,5.679574,6.021717,4.995287,5.063716,0.308360,142218400
1990-11-01,5.040907,5.383049,4.744383,4.995287,0.381850,126035000
1990-12-01,5.063716,5.177764,4.561906,4.858430,0.371388,130152100
1991-01-01,4.812811,5.109335,4.561906,5.109335,0.390568,121844200
1991-02-01,5.200573,5.998907,5.177764,5.953288,0.594722,183870100
1991-03-01,5.930479,6.432288,5.839240,5.907669,0.590164,136668200
1991-04-01,5.884860,6.272622,5.588336,5.930479,0.592444,123556300
1991-05-01,5.907669,6.751622,5.725193,6.728812,0.751184,132527100
1991-06-01,6.614764,6.888479,6.249812,6.569145,0.733359,95828300
1991-07-01,6.637574,6.774431,5.953288,6.112955,0.682431,69044200
1991-08-01,6.112955,6.112955,5.337430,5.679574,0.706098,115635300
1991-09-01,5.656764,5.725193,5.291811,5.474288,0.680577,94069700
1991-10-01,5.519907,5.748002,4.904049,4.949668,0.615355,101282400
1991-11-01,4.949668,5.018097,4.311002,4.379430,0.621601,188831300
1991-12-01,4.311002,5.246192,4.265383,5.132145,0.728438,145971000
1992-01-01,5.109335,6.135764,5.063716,5.565526,0.789951,205879900
1992-02-01,5.519907,7.207812,5.497097,6.706003,1.065615,208924400
1992-03-01,6.706003,7.413098,6.432288,7.002526,1.112734,189438700
1992-04-01,6.911288,8.462337,6.888479,8.279860,1.315709,219910700
1992-05-01,8.302670,8.416718,7.755241,8.097384,1.398030,146568600
1992-06-01,8.074574,8.918528,7.983336,8.371099,1.445286,179674700
1992-07-01,8.348289,8.439527,7.435907,8.348289,1.441348,206552900
1992-08-01,8.302670,8.348289,7.048145,7.435907,1.392837,153236000
1992-09-01,7.458717,7.823669,6.911288,7.207812,1.350112,185360300
1992-10-01,7.253431,7.344669,6.272622,6.660384,1.247571,203435500
1992-11-01,6.728812,7.755241,6.706003,7.664003,1.571728,121377400
1992-12-01,7.686812,7.960527,7.139384,7.823669,1.604472,144461100
1993-01-01,7.892098,8.872909,7.846479,8.416718,1.726095,170552600
1993-02-01,8.462337,9.283480,8.165812,8.371099,1.849424,178260200
1993-03-01,8.393908,9.762480,8.371099,9.488766,2.096351,190074600
1993-04-01,9.511575,10.195861,9.306290,9.990575,2.207216,191109100
1993-05-01,9.990575,10.309909,9.123813,9.488766,2.242398,167623000
1993-06-01,9.557194,10.218671,9.078194,9.534385,2.253178,179667500
1993-07-01,9.511575,9.808099,8.827289,9.625623,2.274741,166282600
1993-08-01,9.739671,10.036194,8.941337,9.306290,2.352881,158973200
1993-09-01,9.283480,10.538004,9.215051,10.081814,2.548954,163485400
1993-10-01,10.104623,11.541623,9.990575,11.290719,2.854598,201088900
1993-11-01,11.290719,11.815338,10.697671,11.085433,2.975646,170141900
1993-12-01,11.267909,12.066242,11.199480,11.769719,3.159328,146864600
1994-01-01,11.655671,12.682100,11.404766,12.225909,3.281783,206130600
1994-02-01,12.225909,12.796147,11.131052,11.336338,3.206591,232033900
1994-03-01,11.404766,12.020623,10.401147,10.720480,3.032389,231351200
1994-04-01,10.538004,11.222290,9.762480,10.652052,3.013033,236285700
1994-05-01,10.857337,11.176671,10.401147,10.538004,3.194526,183300000
1994-06-01,10.538004,11.359147,10.013385,10.766099,3.263672,210564400
1994-07-01,10.880147,11.952195,10.492385,11.632861,3.526424,157251200
1994-08-01,11.678480,11.678480,10.538004,10.674861,3.338206,172148700
1994-09-01,10.766099,11.039814,9.534385,10.127433,3.167014,198002700
1994-10-01,10.127433,10.948576,9.716861,10.766099,3.366736,191817200
1994-11-01,10.720480,10.857337,9.625623,9.899337,3.218851,126345100
1994-12-01,9.899337,10.309909,9.351909,10.173052,3.307851,135642800
1995-01-01,10.218671,10.674861,8.986956,9.215051,2.996350,202638500
1995-02-01,9.169432,9.808099,9.032575,9.534385,3.186669,200735000
1995-03-01,9.488766,10.173052,9.032575,9.808099,3.278152,217322300
1995-04-01,9.808099,10.309909,9.351909,9.899337,3.308646,153923800
1995-05-01,9.899337,10.857337,9.397528,10.674861,3.681551,245706500
1995-06-01,10.674861,11.359147,10.492385,10.857337,3.744484,193682000
1995-07-01,10.902957,11.997814,10.401147,10.583623,3.650085,208464700
1995-08-01,10.538004,11.313528,10.218671,11.222290,3.986089,170836400
1995-09-01,11.222290,11.906576,10.902957,11.359147,4.034701,198586700
1995-10-01,11.359147,11.815338,10.492385,10.492385,3.726834,216294700
1995-11-01,10.583623,10.857337,10.127433,10.309909,3.784009,179999200
1995-12-01,10.401147,10.948576,10.173052,10.538004,3.867725,156545600
1996-01-01,10.538004,11.176671,9.944956,10.766099,3.951441,211742400
1996-02-01,10.766099,11.678480,10.583623,11.404766,4.327752,238965200
1996-03-01,11.496004,12.727719,11.313528,12.545243,4.760528,193474100
1996-04-01,12.590862,13.548862,12.089052,13.092671,4.968259,229088700
1996-05-01,13.183909,13.594481,12.773338,13.320767,5.247386,192067200
1996-06-01,13.275147,13.412005,11.496004,11.815338,4.654360,139175200
1996-07-01,11.906576,12.225909,10.902957,11.815338,4.654360,179227600
1996-08-01,11.906576,12.499624,11.815338,12.225909,4.978331,93215300
1996-09-01,12.043433,12.271528,10.948576,11.404766,4.643966,161648500
1996-10-01,11.404766,12.225909,11.222290,11.404766,4.643966,160110600
1996-11-01,11.404766,12.271528,11.085433,11.952195,5.036933,143705300
1996-12-01,11.952195,12.362766,11.313528,11.769719,4.960037,129950600
1997-01-01,11.632861,12.773338,11.450385,11.724100,4.940811,198984400
1997-02-01,11.815338,12.362766,11.587242,11.997814,5.222502,139346400
1997-03-01,12.043433,12.225909,11.222290,11.450385,4.984214,116688100
1997-04-01,11.450385,12.910195,10.948576,12.682100,5.520363,181379400
1997-05-01,12.682100,13.822577,12.408385,13.685719,6.157514,178732400
1997-06-01,13.731339,14.415625,13.503243,13.868196,6.239612,146415800
1997-07-01,13.959434,15.396435,13.936625,14.917435,6.711689,168632100
1997-08-01,14.871815,16.514101,14.370006,15.692958,7.262589,152365300
1997-09-01,15.761387,16.833435,15.738578,16.468483,7.621494,153797700
1997-10-01,16.422863,18.338863,15.145530,15.943863,7.378705,204335200
1997-11-01,16.240387,17.152769,15.350816,15.692958,7.453165,137662500
1997-12-01,15.852625,17.882673,15.852625,17.723007,8.417311,141217300
1998-01-01,17.768625,18.726625,15.556101,18.612579,8.839802,181490200
1998-02-01,18.795055,20.756674,18.202007,20.642628,10.035473,141218100
1998-03-01,20.574198,23.972818,20.505770,23.653484,11.499210,180785800
1998-04-01,23.630676,27.820692,22.627056,25.176008,12.239386,215341900
1998-05-01,26.103365,29.125860,24.660810,28.507622,14.099483,119496300
1998-06-01,28.816742,32.491821,27.889385,32.423126,16.036037,114482900
1998-07-01,32.285740,33.762642,30.808840,31.324038,15.492443,102002900
1998-08-01,31.014919,31.564465,23.905188,24.523424,12.287256,116993700
